Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Vanille - 140G;13350033909776;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;90
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Vanille - 140G;13350033909776;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;9
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Myrtille - 140G;13350033909783;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;28
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Myrtille - 140G;13350033909783;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;45
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Noisette - 140G;13350033909820;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;14
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B. MONOPRIX Framboise - 140G;13350033959849;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;50
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B MONOPRIX Nature - 140G;13350034054154;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;24
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B MONOPRIX Nature - 140G;13350034054154;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;5
SAMADA (7711 garonor);V-00269114;05/08/26;6 Y.B MONOPRIX lit Litchi - 140G;13350034054161;260827;26L302307;LOT 26L302307 27/08/26  Conservation 4/6 °C;4
